CustomerId,Surname,CreditScore,Geography,Gender,Age
15613854,Mauldon,622,Spain,Female,46
15599195,Stiger,582,Germany,Male,32
15812878,Parsons,785,Germany,Female,36
15602312,Walkom,605,Spain,Male,33
15744689,T'ang,479,Germany,Male,35
15803526,Eremenko,685,Germany,Male,30
15665790,Rowntree,538,Germany,Male,39
15715951,Thorpe,562,France,Male,42
15591100,Chiemela,675,Spain,Male,36
15609618,Fanucci,721,Germany,Male,28
15675522,Ko,628,Germany,Female,30
15705512,Welch,668,Germany,Female,37
15698028,Duncan,506,France,Female,41
15661670,Chidozie,524,Germany,Female,31
15600781,Wu,699,Germany,Male,34
15682472,Culbreth,828,France,Male,34
15580203,Kennedy,674,Spain,Male,39
15690673,Cameron,656,France,Female,39
15760085,Calabresi,684,Germany,Female,48
15779659,Zetticci,625,France,Female,28
15627360,Fuller,432,France,Male,42
15671137,MacDonald,549,France,Female,52
15782688,Piccio,625,Germany,Male,56
15575492,Kennedy,828,France,Female,41
15591607,Fernie,770,France,Male,24
15740404,He,758,France,Female,34
15718369,Kaodilinakachukwu,795,Germany,Female,33
15677871,Cocci,687,France,Male,38
15642004,Alekseeva,686,France,Male,25
15712543,Chinweike,789,Germany,Male,39
15584518,Arthur,589,Germany,Female,50
15802381,Li,461,Germany,Female,34
15610156,Ma,637,France,Male,40
15594408,Chia,584,Spain,Female,48
15640905,Vasin,579,Spain,Female,35
15698932,Groves,756,Germany,Male,44
15724944,Tien,663,France,Male,34
15628145,Forwood,682,France,Female,43
15713483,Greeves,793,Spain,Male,52
15612350,Taylor,691,France,Female,31
15800703,Madukwe,485,Spain,Female,21
15705707,Bennelong,635,Spain,Female,29
15754105,Olisanugo,650,France,Male,37
15703264,Chukwufumnanya,735,France,Male,44
15794413,Harris,416,France,Male,32
15650237,Morgan,754,Spain,Female,32
15759618,Alexeeva,535,France,Female,48
15811589,Metcalfe,716,Spain,Male,42
15689044,Humphries,539,France,Male,37
15709368,Milne,614,France,Female,43
15679145,Chou,706,Spain,Male,57
15655007,Li,758,France,Female,33
15623595,Clayton,586,Spain,Female,28
15589975,Maclean,646,France,Female,73
15804017,Chigolum,631,Germany,Female,33
15692132,Wilkinson,717,Spain,Female,22
15641122,Wei,684,France,Male,30
15630910,Treacy,800,France,Female,49
15680772,Hu,721,Spain,Female,36
15658929,Taverner,683,Spain,Male,29
15585388,Sherman,660,Germany,Male,31
15724623,Taubman,704,Germany,Female,24
15588537,Robinson,615,Spain,Female,41
15574692,Pinto,667,Spain,Female,39
15611325,Wood,682,Germany,Male,24
15587562,Hawkins,484,France,Female,29
15613172,Sun,628,Germany,Male,27
15651022,Yost,480,Germany,Male,44
15586310,Ting,578,France,Male,30
15625524,Rowe,512,France,Male,40
15755209,Fu,484,,Female,35
15645248,Ho,510,France,Female,30
15790355,Okechukwu,606,Germany,Male,36
15762615,Campbell,597,Spain,Female,40
15625426,Ashbolt,754,Germany,Female,55
15716334,Rozier,850,Spain,Female,45
15789669,Hsia,510,France,Male,65
15621075,Ogbonnaya,778,Germany,Female,45
15810845,T'ang,636,France,Male,42
15719377,Cocci,804,France,Female,50
15654506,Chang,514,France,Male,32
15771977,T'ao,730,France,Female,39
15708710,Ford,525,Spain,Female,
15726676,Marshall,616,Spain,Male,30
15587421,Tsai,687,Germany,Female,34
15726931,Onwumelu,715,France,Female,41
15771086,Graham,512,France,Female,36
15756850,Golovanov,479,France,Male,40
15702741,Potts,601,France,Male,32
15679200,Crawford,580,Spain,Male,29
15594815,Aleshire,807,France,Male,35
15635905,Moran,616,Spain,Female,32
15777892,Samsonova,721,Germany,Male,37
15656176,Jenkins,501,France,Male,57
15811127,Volkov,521,France,Male,35
15604482,Chiemezie,850,Spain,Male,30
15622911,Jude,759,France,Male,42
15600974,He,516,Spain,Male,50
15727868,Onuora,711,France,Female,38
15627801,Ginikanwa,512,Spain,Male,33
15773039,Ku,550,France,Male,37
15755262,McDonald,608,Spain,Female,41
15679531,Collins,618,France,Male,34
15684181,Hackett,643,France,Male,45
15612087,Dike,671,France,Male,45
15752047,Trevisano,689,Germany,Male,33
15624592,Tan,603,France,Male,31
15573152,Glassman,620,France,Female,41
15594917,Miller,676,France,Female,34
15785542,Kornilova,572,Germany,Male,26
15723488,Watson,668,Germany,Male,47
15680920,Marchesi,695,France,Male,46
15786308,Millar,730,Spain,Female,33
15659366,Shih,807,France,Male,43
15774854,Fuller,592,France,Male,54
15725311,Hay,726,France,Female,31
15787155,Yang,514,Spain,Male,30
15727829,McIntyre,567,France,Male,42
15733247,Stevenson,850,France,Male,33
15568748,Poole,671,Germany,Male,45
15699029,Bagley,670,France,Male,37
15774393,Ch'ien,694,France,Female,30
15676895,Cattaneo,547,Germany,Female,39
15637753,O'Sullivan,751,Germany,Male,50
15605461,Lucas,594,Germany,Female,29
15808473,Ringrose,673,France,Male,72
15627000,Freeman,610,France,Male,40
15787174,Sergeyev,512,France,Female,37
15723886,Fiore,767,Germany,Male,20
15704769,Smith,585,France,Female,67
15772896,Dumetochukwu,763,Germany,Male,42
15711540,Pacheco,712,France,Female,29
15764866,Synnot,539,Germany,Female,43
15794056,Johnston,668,France,Female,46
15795149,Stevens,703,France,Male,28
15812009,Grant,662,Spain,Male,38
15651001,Tsao,725,Germany,Female,39
15813844,Barnes,703,France,Male,37
15596175,McIntosh,659,Germany,Male,67
15576269,Madison,523,Spain,Male,34
15797219,Ifesinachi,635,France,Female,40
15685500,Glazkov,772,Germany,Male,26
15599792,Dimauro,545,France,Female,26
15657566,Wieck,634,Germany,Male,24
15772423,Liao,739,Germany,Male,54
15628112,Hughes,771,Germany,Female,36
15753754,Morrison,587,Spain,Female,34
15793726,Matveyeva,681,France,Female,79
15694717,Ku,544,Germany,Male,37
15665834,Cheatham,696,Spain,Male,28
15765297,Yao,766,Spain,Male,41
15636684,Kirkland,727,France,Male,34
15592979,Rose,671,Germany,Female,34
15750803,Jess,693,France,Female,30
15607178,Welch,850,Germany,Male,38
15713853,Ifeajuna,732,Germany,Male,42
15673481,Morton,726,Spain,Female,48
15686776,Rossi,557,France,Female,32
15673693,Reppert,682,France,Female,26
15700696,Kang,738,Spain,Male,31
15813163,Ch'iu,531,Spain,Female,36
15653857,Wallis,498,France,Male,34
15777076,Clark,651,France,Male,36
15717398,Fielding,549,Spain,Female,39
15799217,Zetticci,791,Germany,Female,35
15787071,Dulhunty,650,Spain,Male,41
15619955,Bevington,733,Germany,Male,34
15796505,Boyle,811,Germany,Female,34
15725166,Newton,707,France,Male,30
15800116,Bowman,712,Germany,Male,28
15758685,Dubinina,706,Spain,Female,37
15694456,Toscani,756,France,Male,62
15767339,Chiazagomekpere,777,France,Female,53
15683562,Allen,646,France,Male,35
15782210,K'ung,714,France,Male,46
15668893,Wilsmore,782,France,Male,39
15669169,Hargreaves,775,Spain,Male,29
15643024,Huang,479,Germany,Male,35
15699389,Ch'ien,807,France,Male,42
15708608,Wallwork,799,France,Female,22
15626144,Chu,675,France,Male,40
15573112,Kang,602,Spain,Male,29
15790678,,475,France,Female,32
15727556,O'Donnell,744,Spain,Female,26
15697307,Nnachetam,588,Spain,Male,34
15652266,Chidiebele,703,Germany,Male,42
15607098,Ahmed,747,Spain,Female,41
15655774,Booth,583,France,Male,27
15590241,Chuang,750,Spain,Female,34
15785819,Shao,681,France,Male,38
15723654,Tsao,773,France,Male,25
15774510,Tien,714,France,Female,31
15684173,Chang,687,Spain,Female,44
15650068,Johnson,511,France,Male,58
15811490,French,627,France,Male,33
15803976,Efremov,694,France,Female,31
15682541,Hartley,616,Spain,Female,36
15695699,Calabrese,687,France,Male,35
15624188,Chiu,712,France,Female,33
15812191,Brennan,553,France,Male,33
15636673,Onwuatuegwu,667,France,Male,31
15594898,Hewitt,731,France,Male,43
15660211,Shih,629,Germany,Male,35
15773972,Balashov,614,France,Male,50
15746726,Doyle,438,Germany,Male,31
15712287,Pokrovskii,652,France,Female,80
15702919,Collins,729,Germany,Male,30
15674398,Russo,642,France,Male,38
15797960,Skinner,806,Germany,Female,59
15631868,Robertson,744,Spain,Male,36
15581539,Atkinson,474,Spain,Male,37
15662736,Doyle,559,France,Male,49
15666252,Ritchie,706,Spain,Male,42
15677512,McEncroe,628,Spain,Female,22
15626114,Pearson,429,France,Male,24
15810834,Gordon,525,Spain,Female,57
15678910,Ts'ai,680,France,Female,30
15694408,Lung,749,France,Male,40
15585215,Yuan,763,France,Female,31
15682757,Pardey,734,France,Male,30
15736601,Tai,716,France,Male,35
15601848,Scott,594,France,Male,35
15736008,Hunter,644,France,Female,46
15669064,Mazzanti,671,Germany,Male,35
15624528,L?,664,Germany,Male,26
15598493,Beach,656,France,Male,50
15601274,Hsieh,667,Spain,Female,
15702669,Faulkner,663,Germany,Male,44
15728669,Knowles,584,Germany,Female,30
15742668,Day,626,Spain,Female,37
15697441,Hsueh,485,France,Male,29
15740476,Tsao,659,Germany,Female,32
15648064,Kennedy,649,France,Male,33
15636624,Nwabugwu,805,Spain,Female,39
15807923,Young,716,Germany,Female,39
15745844,Kerr,642,Germany,Female,40
15786170,Tien,659,France,Male,31
15681081,Marrero,545,Spain,Female,47
15684484,White,543,France,Male,22
15785869,Pisano,718,France,Female,25
15763859,Brown,840,France,Female,43
15658935,Freeman,630,Germany,Female,34
15747358,Russell,643,Germany,Male,59
15735203,Seleznyov,654,Germany,Female,32
15576256,Yusupova,582,France,Male,39
15659420,Foley,659,Spain,Male,32
15593365,Shih,762,Spain,Male,39
15777352,Ikedinachukwu,568,Spain,Female,32
15812007,Power,670,Spain,Male,25
15625461,Amos,613,France,Female,45
15739438,Reed,539,France,Male,30
15611759,Simmons,850,Spain,Female,57
15661629,Ricci,522,Spain,Male,34
15633950,Yen,737,France,Male,41
15592386,Campbell,520,France,Male,58
15803716,West,706,Spain,Male,28
15696674,Robinson,643,Germany,Female,45
15706365,Bianchi,648,France,Female,50
15745088,Chen,443,Germany,Female,29
15676715,Madukaego,640,France,Male,68
15613085,Ibrahimova,628,Spain,Female,33
15633537,Nolan,540,Germany,Female,42
15594720,Scott,460,Germany,Female,35
15684042,Blair,636,Germany,Male,34
15583303,Monaldo,593,France,Female,29
15611579,Sutherland,801,Spain,Male,42
15774696,Cole,640,Germany,Female,75
15694506,Briggs,611,Germany,Male,31
15688074,Gregory,802,Germany,Male,31
15759537,Bianchi,717,Germany,Male,35
15758449,Angelo,769,France,Female,39
15583456,Gardiner,745,Germany,Male,45
15667871,Kerr,572,Spain,Male,35
15677371,Ko,629,Spain,Female,30
15629677,Distefano,687,Spain,Female,39
15713578,Farrell,483,France,Female,50
15591509,Milano,690,France,Male,36
15568240,Ting,492,Germany,Female,30
15622993,Boyd,709,Germany,Male,28
15689294,Onyemaechi,705,Germany,Male,44
15720910,Black,560,France,Female,66
15721181,Oliver,611,Spain,Male,46
15776433,Greco,730,Spain,Male,62
15748936,Whitehead,709,Spain,Female,45
15717225,Ikemefuna,544,France,Female,21
15685226,Morrison,712,Germany,Female,29
15785611,Onyeoruru,752,Germany,Male,38
15573456,Cunningham,648,Spain,Male,46
15684548,Demidov,556,Spain,Male,38
15620505,Celis,594,Spain,Female,24
15807432,Cheng,645,Germany,Female,37
15584766,Knight,557,France,Male,33
15612187,Morin,547,Germany,Male,32
15762218,Mills,701,France,Female,39
15646372,Outhwaite,616,France,Female,66
15690452,Tung,605,France,Male,52
15747795,Pai,593,Germany,Female,38
15781589,Carpenter,751,Spain,Male,52
15732674,Fennell,443,Spain,Male,36
15642291,Fontaine,685,France,Male,23
15692761,Pratt,718,France,Male,36
15578045,Mitchell,538,Spain,Female,49
15745354,Franklin,611,Spain,Female,37
15701376,K'ung,668,Germany,Male,37
15691625,Ko,537,Germany,Female,41
15566594,McKenzie,709,Spain,Male,23
15760431,Pino,850,France,Male,38
15686302,Fisk,745,Spain,Female,31
15801559,Chiang,693,Germany,Female,41
15810432,Moseley,795,Spain,Male,35
15809616,Hsiung,626,Spain,Male,26
15720559,Heath,487,Germany,Female,61
15695632,Dellucci,556,France,Female,39
15659843,Li,643,France,Female,46
15615624,De Salis,605,France,Female,28
15810418,T'ang,756,Germany,Female,60
15716186,Richardson,586,France,Female,38
15674551,Fitch,535,Germany,Male,40
15622834,Stevenson,678,France,Female,35
15566111,Estes,596,France,Male,39
15784597,Lattimore,648,France,Male,26
15652883,Chung,492,Germany,Male,39
15806964,Utz,702,France,Male,45
15576313,Wei,486,Germany,Female,40
15806467,Boyle,568,Germany,Male,40
15597602,Nwachinemelu,619,Germany,Male,57
15743040,Kuznetsova,724,Germany,Male,41
15705521,Pisani,548,Germany,Female,33
15595039,Manna,545,Germany,Female,37
15799384,Collier,683,France,Male,33
15581197,Ricci,762,France,Female,51
15693737,Carr,627,Germany,Female,30
15624623,Hs?,516,France,Male,35
15783501,Findlay,800,France,Female,38
15690134,Hughes,464,Germany,Female,42
15782735,Chukwuemeka,626,France,Female,35
15611088,Genovese,790,France,Female,31
15672145,Swift,534,France,Female,34
15732628,Ugoji,745,France,Male,46
15787470,Parkinson,553,Spain,Male,47
15803406,Ross,748,France,Female,26
15730460,Oleary,722,France,Male,37
15644572,Turnbull,501,France,Male,40
15694860,Uspensky,675,France,Female,38
15658169,Cook,778,Spain,Female,47
15794396,Newbold,494,Germany,Female,38
15785798,Uchechukwu,850,France,Male,40
15710825,Ch'en,592,Spain,Male,31
15668444,He,590,Spain,Female,44
15726631,Hilton,758,France,Female,39
15733797,Sal,506,France,Male,36
15747960,Eluemuno,733,France,Male,33
15634632,Titus,711,France,Male,38
15707362,Yin,514,Germany,Male,43
15662976,Lettiere,637,Spain,Male,37
15732778,Templeman,468,Germany,Male,29
15718443,Chibuzo,539,France,Male,39
15670039,Sun,509,Spain,Female,25
15773792,Evans,662,France,Female,32
15613786,Ogbonnaya,818,Spain,Male,26
15726032,Enyinnaya,608,France,Male,33
15663252,Olisanugo,850,Spain,Female,32
15593782,Brookes,816,Germany,Female,38
15633283,Padovano,536,France,Male,35
15749167,Fisk,753,France,Male,35
15759298,Shih,631,Spain,Male,27
15683625,Hare,703,France,Male,37
15635367,Muir,774,France,Male,26
15681705,Fanucci,785,France,Male,28
15603156,Elewechi,571,France,Female,33
15591986,Johnston,621,Germany,Male,46
15798888,Pisano,605,Germany,Female,31
15809722,Ankudinov,611,France,Female,40
15677538,Nwokike,569,France,Male,38
15797736,Smith,658,France,Male,29
15695585,Atkins,788,Spain,Male,34
15744398,Burns,525,France,Female,23
15750658,Obiuto,798,France,Male,37
15578186,Pirozzi,486,Germany,Male,37
15676519,George,615,Spain,Male,61
15637954,Lewis,730,France,Female,35
15758639,Moran,641,France,Male,37
15613772,Dalrymple,542,France,Male,39
15731744,Carslaw,692,France,Male,30
15807709,Kirby,714,Germany,Female,55
15714689,Houghton,591,Spain,Male,29
15699005,Martin,710,France,Female,41
15624170,Tan,639,France,Female,38
15725679,Hsia,531,France,Female,47
15585865,Westerberg,673,France,Female,38
15804256,Hale,765,Germany,Male,36
15662403,Kryukova,622,France,Female,32
15733616,Sopuluchukwu,806,France,Male,40
15591995,Barry,757,Germany,Male,26
15677020,Selezneva,570,France,Female,58
15727688,Chizuoke,555,Spain,Male,32
15715941,Lueck,692,France,Male,54
15714485,Udinese,774,France,Male,60
15730059,Udobata,638,Spain,Male,44
15715527,Freeman,543,Spain,Female,41
15576623,Outlaw,584,France,Male,31
15805565,Obiuto,691,Germany,Male,30
15677307,Lo,684,Germany,Female,40
15773890,Okechukwu,733,France,Male,22
15598883,King,599,Spain,Female,37
15568506,Forbes,524,Germany,Female,31
15761043,Macleod,632,Germany,Female,38
15782236,Gibbs,735,Spain,Male,34
15593601,Isayev,734,France,Male,34
15682048,Pisano,605,France,Female,51
15746902,Belstead,793,Spain,Male,38
15752081,Vassiliev,468,France,Female,56
15781307,Schneider,779,Germany,Male,37
15775912,Mazzanti,698,France,Male,48
15745417,Knipe,707,France,Male,58
15671256,Macartney,850,France,Female,35
15653547,Madukwe,850,France,Male,56
15595766,Watts,527,Spain,Male,37
15742358,Humphreys,696,Germany,Male,32
15763274,Wu,661,France,Male,48
15786063,Chin,776,France,Female,31
15600258,Chesnokova,701,France,Male,43
15573318,Kung,610,France,Male,26
15653849,Lu,572,Germany,Female,48
15694272,Nkemakolam,673,France,Male,30
15736112,Walton,519,Spain,Female,57
15749851,Brookes,702,Spain,Female,26
15663478,Baldwin,729,France,Male,32
15592300,Mai,543,Spain,Male,35
15567832,Shih,550,France,Female,40
15776780,He,608,France,Male,59
15592846,Fiorentini,639,Germany,Male,35
15739803,Lucciano,686,Spain,Male,34
15794142,Ferreira,564,Germany,Female,62
15762729,Ukaegbunam,745,Germany,Female,28
15667896,De Luca,833,France,Male,37
15626578,Milne,622,France,Male,26
15776223,Davide,597,France,Female,42
15705953,Kodilinyechukwu,721,Spain,Male,51
15802593,Little,504,France,Female,49
15615457,Burns,842,Spain,Female,44
15708916,Paterson,587,France,Male,38
15720187,Han,479,Germany,Female,30
15595440,Kryukova,508,France,Male,49
15600651,Ijendu,749,France,Male,24
15750141,Reichard,721,Germany,Female,36
15657284,Day,674,Germany,Male,47
15763063,Price,685,Spain,Female,25
15709324,Bruce,417,France,Male,34
15711309,Sumrall,574,Germany,Male,33
15775318,Lu,590,Spain,Female,51
15705515,Lazarev,587,Germany,Male,40
15634844,Miller,598,Germany,Male,41
15717046,Wentworth-Shields,741,Spain,Male,53
15571816,Ritchie,850,Spain,Female,70
15670080,Mackenzie,584,Germany,Female,29
15800440,Power,650,Spain,Male,61
15665678,Tan,607,Spain,Male,36
15665956,Pendergrass,509,France,Female,46
15788126,Evans,689,Spain,Female,38
15811773,Hsia,543,France,Male,36
15651674,Billson,438,Spain,Female,54
15689614,Teng,687,Spain,Female,63
15795564,Moretti,737,Germany,Male,31
15706647,Jordan,761,France,Male,31
15728505,Ts'ao,601,France,Male,44
15730076,Osborne,651,France,Male,45
15622003,Carslaw,745,France,Male,35
15607312,Ch'ang,648,Spain,Female,49
15644753,Hung,848,Spain,Male,40
15653620,Gordon,546,France,Female,27
15761986,Obialo,439,Spain,Female,32
15633922,Gray,755,France,Male,30
15734674,Lin,593,France,Female,41
15658032,Hopkins,701,France,Male,39
15692671,Dobson,701,Spain,Male,36
15737741,McKay,607,Spain,Female,33
15576352,Revell,586,Spain,Female,57
15753719,Rickards,547,Germany,Female,30
15803689,Begum,647,Germany,Female,51
15718057,Onyinyechukwuka,760,France,Female,51
15722010,Zuyev,621,Spain,Male,53
15680998,Nwankwo,725,France,Male,44
15614782,Hao,526,France,Male,36
15591047,Ma,519,Spain,Female,47
15788291,Okwuadigbo,713,Germany,Female,38
15604044,Mitchell,700,France,Male,38
15679587,Chan,666,France,Female,34
15775153,Buchi,630,Spain,Male,32
15603925,Greco,779,Spain,Female,26
15680970,Lombardi,611,Germany,Female,41
15697183,Uchenna,685,Spain,Male,43
15567446,Coffman,646,Germany,Male,39
15637476,Alexandrova,683,Germany,Female,57
15714939,Fallaci,484,Germany,Female,34
15683503,Hudson,601,France,Female,43
15645569,Mai,762,Spain,Female,26
15782569,Stout,687,France,Female,72
15592387,Burke,566,France,Male,30
15609286,Chadwick,702,France,Male,37
15814035,Lawrence,601,France,Male,29
15661249,Bellucci,699,France,Male,53
15629117,Harper,584,France,Male,28
15607170,Boyle,699,France,Male,35
15586585,Duncan,698,Germany,Female,51
15686611,Moss,495,France,Male,30
15603203,Avdeyeva,650,France,Female,27
15619857,Crawford,605,France,Female,64
15805062,Lynton,667,Spain,Male,38
15660271,Duncan,688,Germany,Male,26
15745295,Gether,727,Spain,Female,31
15719352,Davidson,754,Spain,Male,39
15766575,Larionova,612,Germany,Female,62
15594594,Loggia,546,Spain,Male,42
15646161,Steinhoff,673,Spain,Female,37
15682585,Guerra,593,France,Male,35
15603134,Pai,656,Spain,Female,40
15636444,Craig,535,Germany,Female,53
15773456,Lazareva,678,Germany,Male,36
15745307,Ch'iu,477,Spain,Female,48
15604119,Alderete,850,Spain,Male,35
15626900,Kung,427,France,Male,29
15605447,Palermo,752,France,Male,49
15589030,Ts'ai,649,France,Male,47
15692463,Rahman,799,Spain,Female,28
15712403,McMillan,589,France,Female,61
15811762,Pickering,583,Germany,Female,54
15718673,Mirams,839,Spain,Female,33
15724282,Tsao,540,Germany,Male,44
15738181,Douglas,850,France,Male,31
15633648,Jideofor,696,Spain,Female,51
15603323,Bell,660,Spain,Female,33
15583725,Mairinger,682,France,Male,48
15588350,McIntyre,744,France,Female,43
15798398,Pagnotto,785,France,Female,36
15784844,K'ung,752,Spain,Male,
15580684,Feng,706,France,Female,29
15809663,Donaldson,583,France,Female,27
15640078,Chambers,660,Germany,Female,39
15698786,Marcelo,819,France,Female,39
15569807,Ejimofor,673,France,Female,34
15730830,Dale,752,France,Female,30
15805112,Pokrovsky,578,France,Male,38
15633064,Stonebraker,438,France,Female,36
15703119,Liang,652,France,Male,38
15730447,Anderson,629,France,Female,49
15813850,Christian,720,France,Male,52
15711889,Mao,668,France,Male,42
15664610,Campbell,459,Germany,Male,48
15751710,Ginikanwa,729,Spain,Male,31
15692926,Toscani,498,Germany,Male,25
15813741,Nnachetam,549,Spain,Male,25
15698474,Sagese,601,Germany,Female,54
15568595,Fleming,544,France,Male,64
15603065,Grubb,751,France,Female,30
15592937,Napolitani,632,Germany,Female,41
15699637,Anenechi,694,Spain,Male,57
15667215,Chandler,678,France,Male,31
15788659,Howells,695,France,Male,46
15763218,Akeroyd,661,France,Female,41
15645772,Onwumelu,661,France,Male,33
15725511,Wallace,559,France,Female,31
15575024,Uwaezuoke,503,France,Male,29
15640825,Loyau,695,Spain,Male,46
15662397,Small,640,France,Female,42
15576368,Bledsoe,624,Germany,Female,48
15674991,Kao,667,France,Male,42
15721024,Wickens,642,France,Male,26
15745621,Wertheim,640,Spain,Female,32
15642394,He,529,Spain,Male,35
15754605,Jarvis,563,France,Female,39
15607040,P'an,593,Spain,Female,38
15715142,Repina,739,Germany,Male,45
15810978,Pugliesi,788,Spain,Female,70
15668886,Blakey,684,Spain,Female,38
15780804,Nucci,482,France,Male,55
15613880,Higinbotham,591,Spain,Male,58
15775238,Achebe,651,Germany,Female,41
15786905,Russo,749,Germany,Female,40
15747867,Trevisani,583,France,Male,24
15600337,Dobie,661,Spain,Male,42
15801277,Maccallum,715,France,Female,31
15579334,Watkins,769,Germany,Female,45
15802741,Mitchel,625,France,Female,51
15720649,Ferdinand,641,France,Female,36
15589493,Otitodilinna,716,Germany,Male,27
15688251,Mamelu,767,France,Male,43
15665238,Beneventi,745,Germany,Male,36
15740900,Perrodin,589,France,Male,34
15681068,Chinagorom,796,France,Female,45
15748625,Napolitano,664,France,Male,57
15727299,Edgar,445,Spain,Male,62
15620204,Walker,543,Germany,Female,57
15669516,Steele,746,Spain,Male,36
15736534,Elkins,742,Germany,Male,33
15803457,Hao,750,France,Female,32
15659098,Toscano,669,France,Male,30
15603436,Savage,594,Spain,Female,49
15566292,Okwuadigbo,574,Spain,Male,36
15808621,Mordvinova,659,Germany,Male,36
15580148,Welch,750,Germany,Male,40
15776231,Kent,626,Germany,Male,35
15773809,Campbell,620,France,Male,42
15649423,Cooper,580,France,Female,35
15734886,Mazzi,686,France,Female,34
15722548,Fisher,540,France,Male,48
15650288,Summers,634,Germany,Male,35
15629448,Brady,632,Spain,Male,38
15716164,Nicholls,501,France,Female,41
15807609,Yuan,650,Spain,Female,25
15578977,Robinson,786,France,Male,34
15677369,Golubov,554,Germany,Female,37
15804072,Chen,701,Spain,Female,42
15696859,Oldham,474,France,Male,45
15653780,Kambinachi,621,France,Female,43
15721658,Fleming,672,Spain,Female,56
15578761,Cunningham,459,Spain,Female,42
15736879,Obinna,669,France,Male,23
